Name,Systemsize,h,Max_diff,RMSE,MAE
12022N2.cif,218,0.01,2.7070753078656367,0.021323054224567234,0.0004067981952514469
12022N2.cif,218,0.001,0.10180588291288473,0.0006974244184133751,0.0001819451756226653
12022N2.cif,218,0.0001,0.5556920851852567,0.004911854464081756,0.0016413177439747477
12022N2.cif,218,1e-05,5.075320192241662,0.05960095366011121,0.015982205910447408
12022N2.cif,218,1e-06,60.30511724098662,0.30509123355597056,0.13819819571771988
12022N2.cif,218,1e-07,561.7569163982998,4.133055380838578,1.43277164131989
12022N2.cif,218,1e-08,5563.898575487332,24.53969095901913,12.806575324486067
12022N2.cif,218,auto_f32,0.0022099882209687394,8.69213767834671e-06,4.5857333570369987e-07
20560N3.cif,120,0.01,0.1367239413949619,0.0033715721577874855,0.0003103778344457047
20560N3.cif,120,0.001,0.023966532970163712,0.00039597368152630966,0.00018694350845007183
20560N3.cif,120,0.0001,0.20778202652240907,0.004082457019800913,0.0017915051987385812
20560N3.cif,120,1e-05,2.1599157060257568,0.027438426989290377,0.014746038973955962
20560N3.cif,120,1e-06,20.162940333107706,0.29707137727573935,0.1444928514186729
20560N3.cif,120,1e-07,214.64223713026018,3.339811705577909,1.4750611648377892
20560N3.cif,120,1e-08,2110.4017754956863,20.808467224762307,12.468708351672495
20560N3.cif,120,auto_f32,0.00022668866807862287,4.304981766832279e-06,5.2722024448405e-07
AFR.cif,96,0.01,0.03176050594537827,0.0010070257813095203,0.0001433768643755965
AFR.cif,96,0.001,0.027432151525324855,0.0005300734095920836,0.0002261891002913733
AFR.cif,96,0.0001,0.397629447667903,0.005230632789842086,0.0022049361655542186
AFR.cif,96,1e-05,2.9901424171406035,0.04627166213798122,0.01919385558127052
AFR.cif,96,1e-06,21.86503395407514,0.36465094962801514,0.17961965912462965
AFR.cif,96,1e-07,271.66450056417625,4.428160370821312,1.8137609170174787
AFR.cif,96,1e-08,2009.6696255251088,23.18800659548982,14.438297055325918
AFR.cif,96,auto_f32,0.0001760524177107925,4.825995992724924e-06,7.691345677082913e-07
NPT.cif,108,0.01,0.023091724739998654,0.0007781291779856759,0.00012295731039131165
NPT.cif,108,0.001,0.011477215123647966,0.00040018475301021456,0.00021308408855308782
NPT.cif,108,0.0001,0.16035552054475488,0.004523160145418101,0.0021801248578227255
NPT.cif,108,1e-05,1.3280003390188213,0.03507586277599267,0.01891720224471318
NPT.cif,108,1e-06,13.261013565574025,0.4000656057951266,0.19167578879104327
NPT.cif,108,1e-07,117.81127983144317,3.7732084723894617,1.832760939198675
NPT.cif,108,1e-08,739.2276975590822,22.549423525828182,15.31223281390577
NPT.cif,108,auto_f32,0.00013151368625585746,3.2192123349564096e-06,5.509352012323485e-07
RSM0059.cif,38,0.01,0.13014212459366803,0.006514172897411257,0.0010266183445656236
RSM0059.cif,38,0.001,0.015410613781583038,0.0005210552048276318,0.0002683464103487743
RSM0059.cif,38,0.0001,0.1456243807586901,0.004959096271067346,0.002615606753899888
RSM0059.cif,38,1e-05,1.980560071248874,0.039619886884728416,0.021545560668564737
RSM0059.cif,38,1e-06,9.957932483674895,0.37007023938117367,0.20510717226964753
RSM0059.cif,38,1e-07,86.35587142934055,3.9695381308764843,1.9856077635876452
RSM0059.cif,38,1e-08,341.1211798055965,21.165822181873484,14.979994001727194
RSM0059.cif,38,auto_f32,0.0001645969873464992,4.977211760570195e-06,1.0888092003768307e-06
RSM0122.cif,44,0.01,0.5912726977929452,0.013217175130543143,0.0013196317011077582
RSM0122.cif,44,0.001,0.01606352825709223,0.0004911303497425952,0.00025297381157189056
RSM0122.cif,44,0.0001,0.17612995113283603,0.005583325345978456,0.0025453708865439888
RSM0122.cif,44,1e-05,1.725521249574939,0.035627211311393736,0.0199913130539176
RSM0122.cif,44,1e-06,10.233000520731736,0.38023392326981464,0.1932677475010013
RSM0122.cif,44,1e-07,178.1257995227441,4.788773234876416,2.0093496976367518
RSM0122.cif,44,1e-08,799.1996304285005,22.2198487063837,14.078949688207345
RSM0122.cif,44,auto_f32,0.00037990604489834823,9.041983077047881e-06,1.256887631637142e-06
RSM0788.cif,86,0.01,0.11968694634641608,0.003781833441863763,0.0004280552928059423
RSM0788.cif,86,0.001,0.02193719000725025,0.0003962201196182178,0.00021707225950044808
RSM0788.cif,86,0.0001,0.18655204451390262,0.004167449978288995,0.002064658212793686
RSM0788.cif,86,1e-05,0.9712004799581422,0.026433755985607606,0.016957150392272136
RSM0788.cif,86,1e-06,14.672207626940008,0.29611311231759324,0.16647278218503928
RSM0788.cif,86,1e-07,183.07209968888452,3.5873391794780676,1.7132695513055212
RSM0788.cif,86,1e-08,1098.1285612306026,23.319101829775175,14.514064185670273
RSM0788.cif,86,auto_f32,0.0001369477120469753,4.252402818119796e-06,5.972296889163215e-07
RSM1440.cif,124,0.01,0.156774731248575,0.003957205464015546,0.00033208669548488484
RSM1440.cif,124,0.001,0.03130910960970823,0.00038490243396091826,0.00020389138330936574
RSM1440.cif,124,0.0001,0.24577615617231174,0.004336669427884997,0.0019349558667101248
RSM1440.cif,124,1e-05,1.4255487714416333,0.026649417466356448,0.015836700446385705
RSM1440.cif,124,1e-06,29.76871432555052,0.33074887220101057,0.15417217649809067
RSM1440.cif,124,1e-07,258.60584201109737,3.7252210776953536,1.5512347477088666
RSM1440.cif,124,1e-08,2405.040913156457,22.192248344069384,13.450702241280876
RSM1440.cif,124,auto_f32,0.000268596376710839,4.139083080370152e-06,4.681453913427697e-07
RSM1854.cif,145,0.01,0.5058634629610168,0.006618224919924406,0.0003935526320083353
RSM1854.cif,145,0.001,0.029895684128547373,0.00043008933411314956,0.00021002656340573703
RSM1854.cif,145,0.0001,0.2309195902646266,0.003930680893425231,0.001920707183441523
RSM1854.cif,145,1e-05,3.4160117119605786,0.03099302941053921,0.015528200954404521
RSM1854.cif,145,1e-06,21.008399882018374,0.28513913631713955,0.1484409396139525
RSM1854.cif,145,1e-07,226.24050451251858,3.3718705927866965,1.4978801050750683
RSM1854.cif,145,1e-08,1947.6421631778285,20.02918984150523,12.832477380858485
RSM1854.cif,145,auto_f32,0.0002734028705333458,4.0050079692162985e-06,4.773754856995508e-07
SAS.cif,96,0.01,0.03026104973767474,0.0009480705842336943,0.00014194805570585142
SAS.cif,96,0.001,0.020507124368982943,0.0005547355459303518,0.00024016305192205953
SAS.cif,96,0.0001,0.16196952775494822,0.004373433621757265,0.002230851401235854
SAS.cif,96,1e-05,2.117177821408511,0.04556204827368771,0.019976018563122398
SAS.cif,96,1e-06,13.84026467277613,0.37606515481292335,0.18316512632439386
SAS.cif,96,1e-07,122.13794075920191,3.500405089208949,1.7707461036213292
